Psat,Tsat,vf,vfg,vg,uf,ufg,ug,hf,hfg,hg,sf,sfg,sg
97.9,-34,0.001465,1.159,1.1604,44.01,1260.1,1304.1,44.2,1373.6,1417.7,0.3928,5.7436,6.1365
100,-33.6,0.001466,1.1367,1.1381,45.92,1258.6,1304.6,46.1,1372.3,1418.4,0.4008,5.7284,6.1292
108.3,-32,0.00147,1.0551,1.0566,53.25,1253.1,1306.3,53.4,1367.3,1420.7,0.4313,5.6701,6.1014
119.5,-30,0.001476,0.9623,0.9637,62.44,1246.1,1308.6,62.6,1361.1,1423.7,0.4692,5.5977,6.067
120,-29.9,0.001476,0.9582,0.9596,62.87,1245.8,1308.7,63,1360.8,1423.8,0.471,5.5943,6.0654
131.6,-28,0.001481,0.879,0.8805,71.58,1239.2,1310.8,71.8,1354.8,1426.6,0.5067,5.5265,6.0332
140,-26.7,0.001485,0.8292,0.8307,77.55,1234.6,1312.2,77.8,1350.7,1428.5,0.531,5.4805,6.0115
144.6,-26,0.001487,0.8043,0.8058,80.7,1232.2,1312.9,80.9,1348.5,1429.5,0.5437,5.4564,6.0001
158.7,-24,0.001492,0.7371,0.7386,89.79,1225.3,1315,90,1342.2,1432.3,0.5804,5.3873,5.9677
160,-23.8,0.001493,0.7315,0.733,90.59,1224.6,1315.2,90.8,1341.7,1432.5,0.5836,5.3813,5.9649
173.9,-22,0.001498,0.6765,0.678,98.87,1218.3,1317.1,99.1,1335.9,1435,0.6167,5.3192,5.9358
180,-21.2,0.0015,0.6549,0.6564,102.36,1215.6,1317.9,102.6,1333.5,1436.1,0.6306,5.2932,5.9237
190.2,-20,0.001504,0.6219,0.6234,107.94,1211.3,1319.2,108.2,1329.5,1437.7,0.6527,5.2519,5.9046
200,-18.9,0.001507,0.5931,0.5946,113.12,1207.2,1320.4,113.4,1325.9,1439.3,0.6731,5.2139,5.887
207.7,-18,0.001509,0.5724,0.5739,117.02,1204.2,1321.2,117.3,1323.1,1440.4,0.6884,5.1855,5.8739
220,-16.7,0.001513,0.5422,0.5437,123.05,1199.5,1322.5,123.4,1318.8,1442.2,0.712,5.1418,5.8538
226.4,-16,0.001515,0.5277,0.5292,126.09,1197.1,1323.2,126.4,1316.6,1443,0.7238,5.1199,5.8437
240,-14.6,0.001519,0.4995,0.501,132.3,1192.2,1324.5,132.7,1312.1,1444.8,0.7479,5.0755,5.823
246.5,-14,0.001521,0.487,0.4885,135.18,1190,1325.1,135.6,1310,1445.6,0.759,5.0551,5.8141
260,-12.7,0.001525,0.4631,0.4646,140.97,1185.4,1326.4,141.4,1305.8,1447.2,0.7813,5.0142,5.7955
268,-12,0.001527,0.4501,0.4516,144.28,1182.8,1327.1,144.7,1303.4,1448.1,0.794,4.991,5.785
280,-10.9,0.001531,0.4318,0.4333,149.14,1178.9,1328.1,149.6,1299.8,1449.4,0.8126,4.9571,5.7697
290.9,-10,0.001534,0.4165,0.418,153.39,1175.5,1328.9,153.8,1296.7,1450.5,0.8288,4.9276,5.7564
300,-9.2,0.001536,0.4045,0.4061,156.87,1172.8,1329.6,157.3,1294.1,1451.5,0.842,4.9036,5.7451
315.3,-8,0.00154,0.3859,0.3874,162.53,1168.2,1330.8,163,1289.9,1452.9,0.8634,4.8649,5.7282
320,-7.6,0.001541,0.3805,0.3821,164.21,1166.9,1331.1,164.7,1288.7,1453.4,0.8697,4.8534,5.7231
340,-6.1,0.001546,0.3593,0.3608,171.23,1161.2,1332.5,171.8,1283.4,1455.2,0.8961,4.8058,5.7019
341.3,-6,0.001546,0.3579,0.3595,171.68,1160.9,1332.6,172.2,1283.1,1455.3,0.8978,4.8028,5.7005
360,-4.6,0.001551,0.3403,0.3419,177.93,1155.8,1333.8,178.5,1278.3,1456.8,0.9211,4.7608,5.6819
369,-4,0.001553,0.3324,0.334,180.86,1153.5,1334.3,181.4,1276.1,1457.6,0.932,4.7413,5.6733
380,-3.2,0.001555,0.3233,0.3248,184.36,1150.6,1335,184.9,1273.5,1458.4,0.945,4.7181,5.6631
398.4,-2,0.001559,0.309,0.3106,190.06,1146,1336,190.7,1269.1,1459.8,0.9661,4.6804,5.6465
400,-1.9,0.00156,0.3078,0.3094,190.55,1145.6,1336.1,191.2,1268.7,1459.9,0.9679,4.6772,5.6451
429.6,0,0.001566,0.2876,0.2892,199.29,1138.4,1337.7,200,1262,1461.9,1,4.6201,5.6201
450,1.2,0.00157,0.2751,0.2767,205.05,1133.7,1338.7,205.8,1257.5,1463.31,1.021,4.5828,5.6031
462.7,2,0.001573,0.2679,0.2695,208.54,1130.8,1339.3,209.3,1254.8,1464,1.0337,4.5603,5.5941
